img_id,label,max,min,red_mean,green_mean,blue_mean,red_std,green_std,blue_std,red_q01,green_q01,blue_q01,red_q09,green_q09,blue_q09
/Volumes/Yuchen_Drive/Colorectal_histology_mnist/Kather_texture_2016_image_tiles_5000/01_TUMOR/10009_CRC-Prim-HE-03_009.tif_Row_301_Col_151.tif,TUMOR,255,3,93.07048888888889,50.90902222222222,109.51995555555555,33.331296074158416,35.534948536453655,40.74631655606309,59.0,21.0,61.0,132.0,86.0,161.0
/Volumes/Yuchen_Drive/Colorectal_histology_mnist/Kather_texture_2016_image_tiles_5000/01_TUMOR/10062_CRC-Prim-HE-02_003b.tif_Row_1_Col_301.tif,TUMOR,255,6,91.35617777777777,40.800355555555555,71.99568888888889,23.784125042920568,23.54703019458476,29.01244222116665,67.0,20.0,43.0,119.0,65.0,108.0
/Volumes/Yuchen_Drive/Colorectal_histology_mnist/Kather_texture_2016_image_tiles_5000/01_TUMOR/100B0_CRC-Prim-HE-09_009.tif_Row_1_Col_301.tif,TUMOR,253,0,105.1763111111111,56.30062222222222,110.02431111111112,33.95483900962965,37.98537179920628,44.3623372301939,69.0,20.0,54.0,149.0,102.0,168.0
/Volumes/Yuchen_Drive/Colorectal_histology_mnist/Kather_texture_2016_image_tiles_5000/01_TUMOR/10104_CRC-Prim-HE-10_021.tif_Row_451_Col_1.tif,TUMOR,255,0,82.17897777777777,42.354977777777776,112.73177777777778,26.49950293579011,25.60913534267619,40.50319069949317,53.0,17.0,62.0,117.0,74.0,168.0
/Volumes/Yuchen_Drive/Colorectal_histology_mnist/Kather_texture_2016_image_tiles_5000/01_TUMOR/10142_CRC-Prim-HE-09_025.tif_Row_151_Col_151.tif,TUMOR,255,5,108.70568888888889,58.55888888888889,104.12235555555556,32.08715982155983,35.50678118157938,41.81907281779794,74.0,25.0,56.0,153.0,106.0,163.0
/Volumes/Yuchen_Drive/Colorectal_histology_mnist/Kather_texture_2016_image_tiles_5000/01_TUMOR/101A0_CRC-Prim-HE-03_034.tif_Row_151_Col_1.tif,TUMOR,255,1,87.1656888888889,48.45746666666667,105.38173333333333,41.34295926183108,44.8721038288454,50.554474158475884,51.0,16.0,53.0,148.0,108.0,186.0
/Volumes/Yuchen_Drive/Colorectal_histology_mnist/Kather_texture_2016_image_tiles_5000/01_TUMOR/1021F_CRC-Prim-HE-04_029.tif_Row_151_Col_1.tif,TUMOR,255,4,106.49888888888889,71.93022222222223,119.88915555555556,53.86318263164464,63.62013603286017,57.35669894187687,56.0,21.0,59.0,212.0,204.0,224.0
/Volumes/Yuchen_Drive/Colorectal_histology_mnist/Kather_texture_2016_image_tiles_5000/01_TUMOR/10264_CRC-Prim-HE-07_025.tif_Row_1801_Col_1.tif,TUMOR,255,0,102.98191111111112,74.51902222222222,124.94733333333333,68.88835013195866,81.1163824687825,70.13711922291083,41.0,12.0,48.0,226.0,226.0,237.0
/Volumes/Yuchen_Drive/Colorectal_histology_mnist/Kather_texture_2016_image_tiles_5000/01_TUMOR/10286_CRC-Prim-HE-01_002.tif_Row_301_Col_1.tif,TUMOR,255,0,70.86151111111111,38.68853333333333,90.55524444444444,47.834999956388764,53.403830591531104,53.09235824115384,38.0,10.0,46.0,131.0,92.0,178.0
/Volumes/Yuchen_Drive/Colorectal_histology_mnist/Kather_texture_2016_image_tiles_5000/01_TUMOR/1030D_CRC-Prim-HE-02_031.tif_Row_151_Col_1.tif,TUMOR,251,4,131.37902222222223,81.41128888888889,122.17022222222222,29.436041172902886,35.86110857344673,40.118707217948774,92.0,37.0,65.0,168.0,126.0,171.0
